Word,Definition
nurture,provide with nourishment
oasis,a shelter serving as a place of safety or sanctuary
oath,a solemn promise regarding your future acts or behavior
obdurate,stubbornly persistent in wrongdoing
obedient,dutifully complying with the commands of those in authority
obeisance,bending the head or body in reverence or submission
obfuscate,make obscure or unclear
obituary,a notice of someone's death
obligatory,required by compulsion or convention
obliging,showing a cheerful willingness to do favors for others
oblique,slanting or inclined in direction or course or position
obliterate,remove completely from recognition or memory
oblivious,lacking conscious awareness of
obloquy,state of disgrace resulting from public abuse
obscure,not clearly understood or expressed
obsequious,attempting to win favor from influential people by flattery
observatory,a building equipped to view astronomical phenomena
obsess,be preoccupied with something
obstinate,marked by tenacious unwillingness to yield
obstreperous,noisily and stubbornly defiant
obstruct,block passage through
obtuse,"of an angle, between 90 and 180 degrees"
obviate,do away with
occult,supernatural forces and events and beings collectively
ode,a lyric poem with complex stanza forms
odium,hate coupled with disgust
offbeat,strikingly unconventional
offhand,with little or no preparation or forethought
officious,intrusive in a meddling or offensive manner
ominous,threatening or foreshadowing evil or tragic developments
omniscient,"knowing, seeing, or understanding everything"
onerous,burdensome or difficult to endure
opaque,not transmitting or reflecting light or radiant energy
opine,express one's view openly and without fear or hesitation
opportune,suitable or advantageous especially for a particular purpose
opprobrious,expressing offensive reproach
oracle,a shrine where a prophet is consulted
oration,an instance of formal speaking
orient,the eastern hemisphere
original,preceding all others in time
ornithology,the branch of zoology that studies birds
orthodox,adhering to what is commonly accepted
oscillate,move or swing from side to side regularly
ossify,become bony
ostentatious,intended to attract notice and impress others
ostracize,expel from a community or group
oust,remove from a position or office
outfit,a set of clothing
outgoing,at ease in talking to others
outlandish,noticeably or extremely unconventional or unusual
outwit,beat through cleverness
overbearing,having or showing arrogant superiority
overlap,extend over and cover a part of
overt,open and observable; not secret or hidden
overture,orchestral music at the beginning of an opera or musical
oxymoron,conjoined contradictory terms
pachyderm,"a large mammal with thick skin, such as an elephant or hippo"
pacify,"ease the anger, agitation, or strong emotion of"
paean,a hymn of praise
painstaking,characterized by extreme care and great effort
palatable,acceptable to the taste or mind
palatial,relating to or being a large and stately residence
palette,a board on which an artist mixes paints
pall,burial garment in which a corpse is wrapped
palliate,lessen or to try to lessen the seriousness or extent of
pallid,"pale, as of a person's complexion"
palpable,capable of being perceived
palter,be deliberately ambiguous or unclear in order to mislead
paltry,contemptibly small in amount or size
pan,shallow container made of metal
panache,distinctive and stylish elegance
panel,sheet that forms a distinct section of something
pancreas,a large gland that secretes insulin and digestive enzymes
pandemic,existing everywhere
pandemonium,a state of extreme confusion and disorder
panegyric,formally expressing praise
panoramic,as from an altitude or distance
pantry,a small storeroom for storing food or beverages
parable,a short moral story
paradigm,a standard or typical example
paradise,any place of complete bliss and delight and peace
paradox,a statement that contradicts itself
paragon,a perfect embodiment of a concept
paramount,more important than anything else; supreme
paranoia,a mental disorder characterized by delusions of persecution
paraphrase,express the same message in different words
parasite,an animal or plant that lives in or on a host
parch,cause to wither from exposure to heat
parenthesis,a punctuation mark used to enclose textual material
pariah,a person who is rejected from society or home
parity,functional equality
parlance,a manner of speaking natural to a language's native speakers
parody,a composition that imitates or misrepresents a style
paroxysm,a sudden uncontrollable attack
parrot,a brightly colored tropical bird with a hooked beak
parry,impede the movement of
parse,analyze the sentence structure of
parsimony,extreme stinginess
partial,being or affecting only a segment
partisan,a fervent and even militant proponent of something
pastiche,a work of art that imitates the style of some previous work
partition,separation by the creation of a boundary that divides
patent,a document granting an inventor sole rights to an invention
pathology,the branch of medical science that studies diseases
patina,a fine coating of oxide on the surface of a metal
patrician,a person of refined upbringing and manners
patriot,one who loves and defends his or her country
patronize,provide support for
paucity,an insufficient quantity or number
paunchy,having a large belly
peccadillo,a petty misdeed
pedagogue,someone who educates young people
pedant,a person who is preoccupied with rules and learning
pedestal,an architectural support or base
pedestrian,a person who travels by foot
pediatrics,branch of medicine concerned with the treatment of children
peep,"look quickly, cautiously, or secretly"
peer,look searchingly
peeve,an annoyance
pejorative,expressing disapproval
pelf,"money, especially gained in a dishonest way"
pellucid,transmitting light; able to be seen through with clarity
penalty,the disadvantage or painful consequences of an action
penchant,a strong liking or preference
penitent,feeling or expressing remorse for misdeeds
pensive,deeply or seriously thoughtful
penury,a state of extreme poverty or destitution
perambulate,walk with no particular goal
perceptible,capable of being grasped by the mind or senses
peremptory,putting an end to all debate or action
perfervid,characterized by intense emotion
perfidy,an act of deliberate betrayal
perforate,"make a hole into or between, as for ease of separation"
perfunctory,hasty and without attention to detail; not thorough
perimeter,a line enclosing a plane area
periodical,happening or recurring at regular intervals
peripatetic,traveling especially on foot
peripheral,on or near an edge or constituting an outer boundary
perish,pass from physical life
perjury,criminal offense of making false statements under oath
permanence,property of being able to exist for an indefinite time
permeable,allowing fluids or gases to pass or diffuse through
pernicious,exceedingly harmful
peroration,the concluding section of a rhetorical address
perpetual,continuing forever or indefinitely
persecute,cause to suffer
persevere,"be persistent, refuse to stop"
persiflage,light teasing
persistence,the act of continuing or repeating
personable,pleasant in manner and appearance
perspicacious,mentally acute or penetratingly discerning
perspicuity,clarity as a consequence of being easily understandable
pertain,be relevant to
pertinacious,stubbornly unyielding
pertinent,being of striking appropriateness
perturb,disturb in mind or make uneasy or cause to be worried
peruse,examine or consider with attention and in detail
pervade,spread or diffuse through
pessimism,a general disposition to expect the worst in all things
pesticide,a chemical used to kill destructive insects or animals
pestle,a hand tool for grinding and mixing substances in a mortar
petition,a formal request that something be submitted to an authority
petrify,change into stone
petty,small and of little importance
phenomenal,exceedingly or unbelievably great
philanthropic,of or relating to charitable giving
philatelist,a collector and student of postage stamps
philistine,a person who is uninterested in intellectual pursuits
phlegmatic,showing little emotion
piebald,having sections or patches colored differently and brightly
pigment,dry coloring material
pilfer,make off with belongings of others
pillar,a vertical cylindrical structure supporting a structure
pillory,a wooden instrument of punishment on a post
pilot,someone who is licensed to operate an aircraft in flight
pine,a coniferous tree
pinnacle,a slender upright spire at the top of a buttress or a tower
pinpoint,the sharp point of a pin
piquant,having an agreeably pungent taste
pique,"call forth, as an emotion, feeling, or response"
pirate,someone who robs and plunders at sea
pitch,the high or low quality of a sound
pithy,concise and full of meaning
pitiless,without mercy or sympathy
pittance,an inadequate payment
pixel,the smallest discrete component of an image on a screen
placate,cause to be more favorably inclined
placebo,an innocuous or inert medication
plagiarize,take without referencing from someone's writing or speech
plangent,"loud and resounding, often in a mournful way"
plantation,an estate where cash crops are grown on a large scale
plasticity,the property of being physically malleable
plateau,a relatively flat raised area of land
platitude,a trite or obvious remark
plausible,"apparently reasonable, valid, or truthful"
pleat,a fold in a garment or piece of fabric
plethora,extreme excess
pliable,capable of being shaped or bent or drawn out
pliant,capable of being shaped or bent or drawn out
plight,a situation from which extrication is difficult
pluck,pull lightly but sharply
plumb,exactly vertical
plummet,drop sharply
plunge,dash violently or with great speed or impetuosity
plutocracy,a political system governed by the wealthy people
podiatrist,a specialist in care for the feet
polarize,cause to divide into conflicting positions
polemic,"a verbal or written attack, especially of a belief or dogma"
politic,"marked by artful prudence, expedience, and shrewdness"
pompous,puffed up with vanity
ponderous,having great mass and weight and unwieldiness
pontificate,administer a pontifical office
porcelain,ceramic ware made of a more or less translucent ceramic
pore,any tiny hole admitting passage of a liquid
porous,full of holes
portentous,of momentous or ominous significance
portfolio,"a large, thin case for loose papers or drawings or maps"
poseur,a person who habitually pretends to be something he is not
posit,take as a given; assume as a postulate or axiom
postulate,maintain or assert
posture,the arrangement of the body and its limbs
potable,suitable for drinking
potentate,"a powerful ruler, especially one who is unconstrained by law"
pout,be in a huff and display one's displeasure
practitioner,someone who carries out a learned profession
prairie,a treeless grassy plain
prate,speak about unimportant matters rapidly and incessantly
preach,deliver a sermon
precarious,not secure; beset with difficulties
precedent,an example that is used to justify similar occurrences
precipice,a very steep cliff
precipitate,bring about abruptly
precipitation,the falling to earth of any form of water
precipitous,extremely steep
preclude,"make impossible, especially beforehand"
precursor,something indicating the approach of something or someone
predecessor,one who goes before you in time
predilection,a predisposition in favor of something
preeminent,"greatest in importance, degree, or significance"
preempt,acquire for oneself before others can do so
preen,clean with one's bill
preface,a short introductory essay preceding the text of a book
premeditate,"consider, ponder, or plan beforehand"
preoccupation,the mental state of being obsessed by something
preposterous,inviting ridicule
presage,a foreboding about what is about to happen
prescience,the power to foresee the future
prescription,the action of issuing authoritative rules or directions
preservative,tending or having the power to protect or prevent decay
prestige,a high standing achieved through success or influence
presumptuous,"going beyond what is appropriate, permitted, or courteous"
pretense,the act of giving a false appearance
preternatural,existing outside of or not in accordance with nature
prevail,"be larger in number, quantity, power, status or importance"
prevalent,most frequent or common
prevaricate,be deliberately ambiguous or unclear
primordial,having existed from the beginning
primp,dress or groom with elaborate care
principal,main or most important
pristine,immaculately clean and unused
privation,"the act of stripping someone of food, money, or rights"
probe,an exploratory action or expedition
probity,complete and confirmed integrity
proclivity,a natural inclination
procrastinate,postpone doing what one should be doing
procure,get by special effort
prod,push against gently
prodigal,recklessly wasteful
prodigious,"great in size, force, extent, or degree"
profane,grossly irreverent toward what is held to be sacred
proffer,present for acceptance or rejection
proficient,having or showing knowledge and skill and aptitude
profligate,unrestrained by convention or morality
profundity,the quality of being physically deep
profusion,the property of being extremely abundant
prohibitive,"tending to discourage, especially of prices"
proliferate,grow rapidly
prolix,tediously prolonged or tending to speak or write at length
prologue,an introductory section of a novel or other literary work
prolong,lengthen in time; cause to be or last longer
proofread,read for errors
promulgate,state or announce
propagate,multiply through reproduction
propensity,a natural inclination
prophetic,foretelling events as if by supernatural intervention
propitiate,make peace with
propitious,presenting favorable circumstances
proponent,a person who argues for a cause or puts forward an idea
propriety,correct behavior
prosaic,lacking wit or imagination
proscribe,command against
prosecution,legal proceedings against a defendant for criminal behavior
proselytize,convert or try to convert someone to another religion
prospect,the possibility of future success
prosperous,in fortunate circumstances financially
prostrate,stretched out and lying at full length along the ground
protean,taking on different forms
protocol,forms of ceremony and etiquette observed by officials
protract,lengthen in time; cause to be or last longer
protrude,extend out or project in space
protuberant,"curving, jutting, or bulging outward"
provident,giving something useful for the future
providential,peculiarly fortunate or appropriate
provincial,associated with an administrative district of a nation
provisional,under terms not final or fully worked out or agreed upon
provoke,provide the needed stimulus for
prowess,a superior skill learned by study and practice
prowl,move about in or as if in a predatory manner
prude,a person excessively concerned about propriety and decorum
prudent,marked by sound judgment
prune,"cultivate, tend, and cut back the growth of"
pry,be nosey
pseudonym,a fake name used to engage in some activity
psychology,the science of mental life
pucker,gather something into small wrinkles or folds
puckish,naughtily or annoyingly playful
puerile,displaying or suggesting a lack of maturity
puissance,power to influence or coerce
pulchritude,"physical beauty, especially of a woman"
pulverize,make into a powder by breaking up or cause to become dust
pun,a humorous play on words
punctilious,marked by precise accordance with details
pundit,an expert who publicly gives opinions via mass media
pungent,strong and sharp to the sense of taste or smell
puny,of inferior size
purity,being undiluted or unmixed with extraneous material
purloin,make off with belongings of others
purvey,supply with provisions
pusillanimous,"lacking in courage, strength, and resolution"
quack,the sound made by a duck
quaff,swallow hurriedly or greedily or in one draught
quail,a small game bird
qualify,prove capable or fit; meet requirements
quandary,state of uncertainty in a choice between unfavorable options
quarantine,isolation to prevent the spread of infectious disease
quarry,animal hunted or caught for food
quash,declare invalid
quaver,give off unsteady sounds
quell,suppress or crush completely
quench,"satisfy, as thirst"
querulous,habitually complaining
queue,a line of people or vehicles waiting for something
quibble,evade the truth of a point by raising irrelevant objections
quiescent,being quiet or still or inactive
quixotic,not sensible about practical matters
quota,a prescribed number
quotidian,found in the ordinary course of events
rabble,a disorderly crowd of people
rabid,marked by excessive enthusiasm for a cause or idea
raconteur,a person skilled in telling anecdotes
raffish,marked by a carefree unconventionality or disreputability
rafter,one of several parallel sloping beams that support a roof
rage,a feeling of intense anger
ragged,being or dressed in clothes that are worn or torn
rail,"a horizontal bar, usually of wood or metal"
rakish,marked by up-to-dateness in dress and manners
ramble,move about aimlessly or without any destination
rambunctious,noisy and lacking in restraint or discipline
rampart,an embankment built around a space for defensive purposes
ramshackle,in poor or broken-down condition
rancor,a feeling of deep and bitter anger and ill-will
randomize,"arrange or organize by chance, without any order or plan"
ranger,an official responsible for managing an area of forest
rankle,make resentful or angry
rant,"talk at length in a noisy, excited, or angry manner"
rapacious,living by preying on other animals
rapport,a relationship of mutual understanding between people
rapprochement,the reestablishing of cordial relations
rapscallion,one who is playfully mischievous
rapt,feeling great delight and interest
rash,imprudently incurring risk
raisin,dried grape
raspy,unpleasantly harsh or grating in sound
ratify,"approve and express assent, responsibility, or obligation"
ratiocination,the proposition arrived at by logical reasoning
ration,a fixed portion that is allotted
ravel,disentangle or separate out
rave,"talk in a noisy, excited, or declamatory manner"
ravish,hold spellbound
raze,tear down so as to make flat with the ground
reactant,a substance that is altered during a chemical process
reactionary,extremely conservative or resistant to change
ream,a quantity of paper
reap,get or derive
reassure,cause to feel confident
rebuff,a deliberate discourteous act
recalcitrant,stubbornly resistant to authority or control
recant,formally reject or disavow a formerly held belief
recessive,of or pertaining to a recession
recidivism,habitual relapse into crime
reciprocate,"act, feel, or give mutually or in return"
reckless,marked by defiant disregard for danger or consequences
recluse,one who lives in solitude
recoil,spring back; spring away from an impact
reconcile,come to terms
recondite,difficult to understand
reconnoiter,"explore, often with a goal of finding something or somebody"
reconstitute,construct or form anew or provide with a new structure
reconvene,meet or cause to meet again
rectitude,righteousness as a consequence of being honorable and honest
recumbent,lying down; in a position of comfort or rest
recuperate,restore to good health or strength
redistribution,dispersing again
redolent,having a strong pleasant odor
redoubtable,inspiring fear
redundant,"more than is needed, desired, or required"
reel,a winder around which flexible materials can be wound
referee,the official in a sport who is expected to ensure fair play
refine,reduce to a pure state
reflect,throw or bend back from a surface
refractory,stubbornly resistant to authority or control
refulgent,radiating or as if radiating light
refute,"overthrow by argument, evidence, or proof"
regenerate,"reestablish on a new, usually improved, basis"
regimen,a systematic plan for therapy
regress,go back to a previous state
rehabilitate,restore someone to a good state of health or reputation
rehearsal,a practice session in preparation for a public performance
reign,royal authority; the dominion of a monarch
rein,one of a pair of long straps used to control a horse
reiterate,"say, state, or perform again"
rejoice,feel happiness
relapse,deteriorate in health
release,grant freedom to; free from confinement
relent,"give in, as to influence or pressure"
relevant,having a bearing on or connection with the subject at issue
religion,a strong belief in supernatural powers that control destiny
relinquish,turn away from; give up
relish,vigorous and enthusiastic enjoyment
reluctant,not eager
remiss,failing in what duty requires
remonstrance,the act of expressing earnest opposition or protest
remorse,"a feeling of deep regret, usually for some misdeed"
remunerate,make payment to; compensate
rend,tear or be torn violently
renegade,someone who rebels and becomes an outlaw
renounce,turn away from; give up
renovate,restore to a previous or better condition
repartee,adroitness and cleverness in reply
repatriate,send someone back to his homeland against his will
repeal,cancel officially
repel,force or drive back
repertoire,the range of skills in a particular field or occupation
repine,express discontent
replete,filled to satisfaction with food or drink
repose,freedom from activity
repress,conceal or hide
reprieve,postpone the punishment of a convicted criminal
reproach,express criticism towards
reprobate,a person without moral scruples
reproof,an act or expression of criticism and censure
reprove,"reprimand, scold, or express dissatisfaction with"
reptile,a cold-blooded vertebrate including snakes and lizards
repudiate,"refuse to acknowledge, ratify, or recognize as valid"
repugnant,offensive to the mind
repulse,force or drive back
repute,the state of being held in high esteem and honor
requite,make repayment for or return something
requisite,necessary for relief or supply
rescind,cancel officially
reserved,set aside for the use of a particular person or party
residue,matter that remains after something has been removed
resign,accept as inevitable
resilience,ability of a material to return to its original shape
resin,a viscous substance obtained from plants or simple molecules
resolute,firm in purpose or belief
resonant,characterized by a loud deep sound
resourceful,adroit or imaginative
respite,a pause from doing something
respire,"draw air into, and expel out of, the lungs"
resplendent,having great beauty
responsive,reacting to a stimulus
restive,in a very tense state
restless,lacking physical or mental ease
restrain,hold back
resurgence,bringing again into activity and prominence
resuscitate,cause to regain consciousness
retainer,an appliance that holds teeth in position after treatment
retaliate,make a counterattack and return like for like
retard,cause to move more slowly or operate at a slower rate
retinue,the group following and attending to some important person
reticent,reluctant to draw attention to yourself
retort,a quick reply to a question or remark
retract,formally reject or disavow
retrench,tighten one's belt; use resources carefully
retribution,a justly deserved penalty
retrograde,moving or directed or tending in a backward direction
retrospective,concerned with or related to the past
revelry,unrestrained merrymaking
revenge,action taken in return for an injury or offense
revere,regard with feelings of respect
revise,make changes to
revive,cause to regain consciousness
revoke,cancel officially
revolt,rise up against an authority
ribald,humorously vulgar
rickety,inclined to shake as from weakness or defect
rider,a traveler who actively sits and travels on an animal
ridicule,language or behavior intended to mock or humiliate
rife,excessively abundant
rift,a narrow fissure in rock
rile,"disturb, especially by minor irritations"
riot,a state of disorder involving group violence
rite,any customary observance or practice
riveting,capable of arousing and holding the attention
rivulet,a small stream
robust,"sturdy and strong in form, constitution, or construction"
rodent,relatively small placental mammals
roil,make turbid by stirring up the sediments of
roster,a list of names
rostrum,a platform raised above the surrounding level
rouse,cause to become awake or conscious
royalty,royal persons collectively
rubicund,having a healthy reddish color
rudimentary,being in the earliest stages of development
rue,feel sorry for; be contrite about
ruffle,stir up (water) so as to form ripples
ruminate,reflect deeply on a subject
rumple,disturb the smoothness of
runic,relating to characters from an ancient alphabet
rupture,the act of making a sudden noisy break
ruse,"a deceptive maneuver, especially to avoid capture"
rustic,characteristic of rural life
rustle,make a dry crackling sound
sabbatical,a leave usually taken every seventh year
sabotage,a deliberate act of destruction or disruption
saccharine,overly sweet
sacrilege,blasphemous behavior
saddle,a seat for the rider of a horse or camel
safeguard,a precautionary measure warding off impending danger
sage,a mentor in spiritual and philosophical topics
salient,"conspicuous, prominent, or important"
salmon,any of various large food and game fishes of northern waters
salubrious,promoting health
salutary,tending to promote physical well-being; beneficial to health
salutation,an acknowledgment or expression of good will
salvage,rescuing a ship or its crew from a shipwreck or a fire
salve,a preparation applied externally as a soothing remedy
sanctify,render holy by means of religious rites
sanctuary,a consecrated place where sacred objects are kept
sanction,official permission or approval
sanctimonious,excessively or hypocritically pious
sanguine,confidently optimistic and cheerful
sanitation,the state of being clean and conducive to health
sap,a watery fluid that circulates in a plant
sapient,acutely insightful and wise
sarcasm,witty language used to convey insults or scorn
sartorial,of or relating to tailoring or clothing
sate,fill to contentment
satiate,fill to satisfaction
satire,witty language used to convey insults or scorn
satirize,ridicule with witty language used to convey insults or scorn
saturate,infuse or fill completely
saturnine,bitter or scornful
saunter,walk leisurely and with no apparent aim
savanna,a flat grassland in tropical or subtropical regions
savant,a learned person
savory,pleasing to the sense of taste
savvy,marked by practical hardheaded intelligence
scabbard,a sheath for a sword or dagger or bayonet
scale,an ordered reference standard
scalpel,a thin straight surgical knife
scan,examine minutely or intensely
scant,less than the correct or legal or full amount
scathing,marked by harshly abusive criticism
schism,division of a group into opposing factions
scintillate,emit or reflect light in a flickering manner
scion,a descendent or heir
scoff,laugh at with contempt and derision
scorch,burn slightly and superficially so as to affect color
score,a number that expresses accomplishment in a game or contest
scorn,lack of respect accompanied by a feeling of intense dislike
scotch,"hinder or prevent, as an effort, plan, or desire"
scour,rub hard or scrub
scowl,frown with displeasure
scrap,a small fragment of something broken off from the whole
scrawl,write carelessly
scribble,write down quickly without much attention to detail
script,something written by hand
scrupulous,characterized by extreme care and great effort
inscrutable,difficult or impossible to understand
scrutinize,examine carefully for accuracy
scuff,walk without lifting the feet
sculpt,create by shaping stone or wood or other material
scurrilous,"expressing offensive, insulting, or scandalous criticism"
scurvy,a condition caused by deficiency of ascorbic acid
scythe,an edge tool for cutting grass
seamy,morally degraded
secluded,hidden from general view or use
secrete,generate and separate from cells or bodily fluids
sedate,characterized by dignity and propriety
sedentary,requiring sitting or little activity
seduce,"lure or entice away from duty, principles, or proper conduct"
sedulous,marked by care and persistent effort
seemly,according with custom or propriety
segment,one of several parts that fit with others to make a whole
seminal,influential and providing a basis for later development
seminary,a school for training ministers or priests or rabbis
sensation,an awareness of some type of stimulation
sensitive,responsive to physical stimuli
sentinel,a person employed to keep watch for some anticipated event
sepulchral,of or relating to a chamber that is used as a grave
septic,of or relating to or caused by the process of decay
sequester,keep away from others
seraph,an angel of the first order
sere,having lost all moisture
serendipity,good luck in making unexpected and fortunate discoveries
serene,not agitated
sermon,an address of a religious nature
serpentine,resembling a snake in form
servile,submissive or fawning in attitude or behavior
severe,"very harsh or strict, especially when dealing with others"
shackle,a restraint that confines or restricts freedom
shadow,a dark shape created by an object blocking a source of light
shallow,lacking physical depth
sham,something that is a counterfeit; not what it seems to be
shard,a broken piece of a brittle artifact
shiftless,lacking ambition or initiative
shirk,avoid one's assigned duties
shoal,a stretch of shallow water
shrewd,marked by practical hardheaded intelligence
shrine,a place of worship associated with something sacred
shun,avoid and stay away from deliberately
sidereal,of or relating to the stars or constellations
signal,any action or gesture that encodes a message
simper,"smile in an insincere, unnatural, or coy way"
simpleton,a person lacking intelligence or common sense
simulate,reproduce someone's behavior or looks
sincere,open and genuine; not deceitful
sinecure,a job that involves minimal duties
sinew,a band of tissue connecting a muscle to its bony attachment
singe,burn superficially or lightly
sinuous,curved or curving in and out
siren,a warning signal that is a loud wailing sound
skeleton,the structure providing a frame for the body of an animal
skeptic,someone who habitually doubts accepted beliefs
skimp,work hastily or carelessly
skirmish,a minor short-term fight
skit,a short theatrical performance or episode
slack,not tense or taut
slab,block consisting of a thick piece of something
slake,"satisfy, as thirst"
slant,incline or bend from a vertical position
slate,fine-grained metamorphic rock that can be split into layers
slew,a large number or amount or extent
slight,small in quantity or degree
slipshod,marked by great carelessness
sloth,a disinclination to work or exert yourself
slouch,assume a drooping posture or carriage
slovenly,negligent of neatness especially in dress and person
sluggard,an idle slothful person
sluggish,moving slowly
slumber,be asleep
slur,utter indistinctly
sly,marked by skill in deception
smarmy,unpleasantly and excessively suave or ingratiating
smart,characterized by quickness and ease in learning
smattering,a slight or superficial understanding of a subject
smirk,smile in a mocking or condescending way
smother,deprive of oxygen and prevent from breathing
smug,marked by excessive complacency or self-satisfaction
smuggle,import or export without paying customs duties
snare,a trap for birds or small mammals; often has a slip noose
snarl,"utter in an angry, sharp, or abrupt tone"
sneer,a facial expression of contempt or scorn
snobbish,characteristic of those who incline to social exclusiveness
snub,refuse to acknowledge
sober,"not affected by a chemical substance, especially alcohol"
sodden,wet through and through; thoroughly wet
solace,comfort offered to one who is disappointed or miserable
solder,join or fuse with an alloy
solemnity,a trait of dignified seriousness
solicitous,full of anxiety and concern
solidify,become firm
soliloquy,speech you make to yourself
solitude,a state of social isolation
solvent,capable of meeting financial obligations
somatic,characteristic of the body as opposed to the mind or spirit
somber,serious and gloomy in character
somnolence,a very sleepy state
sonata,a musical composition of movements of contrasting forms
sonnet,a verse form of 14 lines with a fixed rhyme scheme
soothe,cause to feel better
sophism,a deliberately invalid argument intended to deceive
sophistication,the quality or character of being intellectually worldly
soporific,inducing sleep
sordid,foul and run-down and repulsive
sound,mechanical vibrations transmitted by an elastic medium
sparse,not dense or plentiful
spartan,unsparing and uncompromising in discipline or judgment
spat,a quarrel about petty points
spate,a sudden forceful flow
specific,stated explicitly or in detail
specious,plausible but false
spectator,a close observer; someone who looks at something
spelunker,a person who explores caves
spectrum,"a broad range of related objects, values, or qualities"
speculate,reflect deeply on a subject
spendthrift,someone who spends money freely or wastefully
spindly,"long, thin, and often weak or fragile"
spire,a tall tower that forms the superstructure of a building
spleen,a large oval organ between the stomach and the diaphragm
splice,join the ends of
splint,a thin piece of wood
spoke,a rod joining the hub of a wheel to the rim
spontaneous,said or done without having been planned in advance
spoof,a humorous imitation of another work or style of work
sporadic,recurring in scattered or unpredictable instances
sprain,twist suddenly so as to wrench
sprightly,full of spirit and vitality
spur,a prod on a rider's heel used to urge a horse onward
spurious,plausible but false
spurn,reject with contempt
squabble,a quarrel about petty points
squalid,foul and run-down and repulsive
squall,a loud and harsh cry
squander,spend thoughtlessly; throw away
squat,sit on one's heels
squint,"partly close one's eyes, as when hit by direct light"
squelch,suppress or crush completely
stabilize,support and make steadfast
stalwart,having rugged physical strength
stamina,enduring strength and energy
stammer,speak haltingly
stanza,a fixed number of lines of verse forming a unit of a poem
startle,surprise greatly
static,not in physical motion
stature,the height of a standing person
steadfast,marked by firm determination or resolution; not shakable
stealth,avoiding detection by moving carefully
steep,having a sharp inclination
stench,a distinctive odor that is offensively unpleasant
stencil,a sheet of material that has been perforated with a pattern
stentorian,very loud or booming
sterile,incapable of reproducing
stickler,someone who insists on something
stiff,incapable of or resistant to bending
stifle,impair the respiration of or obstruct the air passage of
stigma,a symbol of disgrace or infamy
stint,supply sparingly and with restricted quantities
stingy,unwilling to spend
stipple,engrave by means of dots and flicks
stipulate,make an express demand or provision in an agreement
stitch,"a link or loop made by sewing, knitting, or needlework"
stock,a supply of something available for future use
stockade,fortification consisting of a fence set firmly for defense
stodgy,excessively conventional and unimaginative and hence dull
stoke,(of a fire) stir up or tend
stoic,seeming unaffected by pleasure or pain; impassive
stolid,having or revealing little emotion or sensibility
stonewall,engage in delaying tactics or refuse to cooperate
stowaway,a person who hides on a ship or plane for a free ride
stratagem,an elaborate or deceitful scheme to deceive or evade
strait,a narrow channel joining two larger bodies of water
strand,a group of fibers twisted together to form a thread or rope
stratify,"form, arrange, or deposit in layers"
stray,wander from a direct course or at random
strength,the property of being physically or mentally powerful
striate,marked with stripes
stricture,a principle that restricts the extent of something
stride,walk with long steps
strident,unpleasantly loud and harsh
strike,"deliver a sharp blow, as with the hand, fist, or weapon"
stringent,demanding strict attention to rules and procedures
strip,take off or remove
strut,"walk in a proud, confident way"
stultify,deprive of strength or efficiency; make useless or worthless
stupor,a state of being half-awake
stunt,check the growth or development of
sturdy,having rugged physical strength
stylus,"a pointed tool for writing, drawing, or engraving"
stymie,hinder or prevent the progress or accomplishment of
subdue,put down by force or intimidation
subject,some situation or event that is thought about
subjugate,make subservient; force to submit or subdue
sublime,of high moral or intellectual value
subliminal,below the threshold of conscious perception
submerge,put under water
submissive,inclined or willing to give in to orders or wishes of others
subordinate,an assistant subject to the authority or control of another
subpoena,a writ issued to compel the attendance of a witness
subservient,compliant and obedient to authority
subside,wear off or die down
subsidiary,functioning in a supporting capacity
subsidy,"a grant of financial assistance, especially by a government"
substantial,real; having a material or factual existence
substantiate,establish or strengthen as with new evidence or facts
substantive,having a firm basis in reality and therefore important
subterfuge,something intended to misrepresent the nature of an activity
subtlety,the quality of being difficult to detect or analyze
subvert,overthrow or destroy completely
succinct,briefly giving the gist of something
succor,assistance in time of difficulty
suffocate,deprive of oxygen and prevent from breathing
suffuse,"cause to spread or flush or flood through, over, or across"
sulk,be in a huff and display one's displeasure
sullen,showing a brooding ill humor
summary,a brief statement that presents the main points
summit,the top or extreme point of something
summon,ask to come
sumptuous,rich and superior in quality
sunder,"break apart or in two, using violence"
supercilious,having or showing arrogant superiority
superficial,"of, affecting, or being on or near the surface"
superfluous,"more than is needed, desired, or required"
superimpose,place on top of
supine,lying face upward
supple,moving and bending with ease
supplant,take the place or move into the position of
supplement,an additional component that improves capability
supplicate,"ask for humbly or earnestly, as in prayer"
supposition,the cognitive process of conjecturing
suppress,put down by force or authority
surcharge,an additional fee required for some service or item
surfeit,indulge (one's appetite) to satiety
surrender,relinquish possession or control over
surreptitious,marked by quiet and caution and secrecy
susceptibility,the state of being easily affected
suspend,bar temporarily
suture,a seam used in surgery
svelte,being of delicate or slender build
swagger,walk with a lofty proud gait
swear,to declare or affirm solemnly and formally as true
sweltering,excessively hot and humid; marked by sweating and faintness
swerve,turn sharply; change direction abruptly
swindle,(offensive) deprive of by deceit
sybarite,a person addicted to luxury and pleasures of the senses
sycophant,a person who tries to please someone to gain an advantage
syllabus,a summary or outline of what will be covered in an academic course
syllogism,reasoning in which a conclusion is derived from two premises
symbiosis,the relation between two interdependent species of organisms
symmetry,balance among the parts of something
symphony,a long and complex sonata for an orchestra
synchronous,occurring or existing at the same time
synonymous,meaning the same or nearly the same
